,Date,fips,cases,deaths,High,Low,Open,Close,Volume,Adj Close
0,2020-01-21,53,1,0,9397.580078125,9350.2001953125,9361.0703125,9370.8095703125,2684540000,9370.8095703125
1,2020-01-22,53,1,0,9439.2900390625,9375.1298828125,9413.6103515625,9383.76953125,2449390000,9383.76953125
2,2020-01-23,53,1,0,9409.2001953125,9334.1298828125,9377.7197265625,9402.48046875,2460050000,9402.48046875
3,2020-01-24,70,2,0,9451.4296875,9273.23046875,9446.2099609375,9314.91015625,2611710000,9314.91015625
4,2020-01-27,80,5,0,9185.4501953125,9088.0400390625,9092.4599609375,9139.3095703125,2583330000,9139.3095703125
5,2020-01-28,80,5,0,9288.8701171875,9182.330078125,9201.8203125,9269.6796875,2157830000,9269.6796875
6,2020-01-29,80,5,0,9329.1201171875,9249.0400390625,9318.259765625,9275.16015625,2223480000,9275.16015625
7,2020-01-30,80,6,0,9303.0,9185.1796875,9211.150390625,9298.9296875,2333500000,9298.9296875
8,2020-01-31,80,7,0,9324.7998046875,9123.2197265625,9324.330078125,9150.9404296875,2685840000,9150.9404296875
9,2020-02-03,105,11,0,9299.849609375,9188.5498046875,9190.7197265625,9273.400390625,2420510000,9273.400390625
10,2020-02-04,105,11,0,9485.3798828125,9374.0498046875,9398.3896484375,9467.9697265625,2445420000,9467.9697265625
11,2020-02-05,160,12,0,9574.9404296875,9454.9296875,9574.099609375,9508.6796875,2462470000,9508.6796875
12,2020-02-06,160,12,0,9575.66015625,9505.6796875,9540.98046875,9572.150390625,2267300000,9572.150390625
13,2020-02-07,160,12,0,9570.08984375,9496.5302734375,9526.6396484375,9520.509765625,2238670000,9520.509765625
14,2020-02-10,160,13,0,9628.66015625,9493.6298828125,9493.6298828125,9628.3896484375,2179310000,9628.3896484375
15,2020-02-11,160,13,0,9714.740234375,9617.2099609375,9680.8896484375,9638.9404296875,2423670000,9638.9404296875
16,2020-02-12,208,14,0,9728.76953125,9666.6904296875,9688.599609375,9725.9599609375,2355000000,9725.9599609375
17,2020-02-13,208,15,0,9748.3203125,9650.01953125,9657.0400390625,9711.9697265625,2239270000,9711.9697265625
18,2020-02-14,208,15,0,9746.3603515625,9693.0498046875,9728.900390625,9731.1796875,2222240000,9731.1796875
19,2020-02-18,239,25,0,9747.6796875,9675.7998046875,9679.0400390625,9732.740234375,2273460000,9732.740234375
20,2020-02-19,239,25,0,9838.3701171875,9777.099609375,9782.8095703125,9817.1796875,2462530000,9817.1796875
21,2020-02-20,239,27,0,9820.8603515625,9636.9404296875,9799.2001953125,9750.9697265625,2735610000,9750.9697265625
22,2020-02-21,239,30,0,9715.9501953125,9542.330078125,9708.009765625,9576.58984375,2743010000,9576.58984375
23,2020-02-24,239,43,0,9322.8798828125,9166.009765625,9188.4404296875,9221.2802734375,3177000000,9221.2802734375
24,2020-02-25,288,45,0,9315.259765625,8940.490234375,9301.2001953125,8965.6103515625,3583400000,8965.6103515625
25,2020-02-26,288,60,0,9148.3203125,8927.7998046875,9011.5498046875,8980.7802734375,3567830000,8980.7802734375
26,2020-02-27,288,60,0,8904.1103515625,8562.0498046875,8744.0302734375,8566.48046875,4536080000,8566.48046875
27,2020-02-28,329,65,0,8591.8203125,8264.16015625,8269.740234375,8567.3701171875,5301170000,8567.3701171875
28,2020-03-02,467,104,6,8952.8095703125,8543.349609375,8667.1396484375,8952.169921875,4232760000,8952.169921875
29,2020-03-03,504,125,10,9070.3203125,8602.8896484375,8965.099609375,8684.08984375,4336700000,8684.08984375
30,2020-03-04,538,161,12,9019.9599609375,8757.66015625,8834.099609375,9018.08984375,3602870000,9018.08984375
31,2020-03-05,649,228,12,8921.080078125,8677.3896484375,8790.08984375,8738.58984375,3748090000,8738.58984375
32,2020-03-06,857,311,15,8612.3603515625,8375.1298828125,8469.01953125,8575.6201171875,4279850000,8575.6201171875
33,2020-03-09,1107,748,26,8243.3095703125,7943.16015625,7957.93017578125,7950.68017578125,4530350000,7950.68017578125
34,2020-03-10,1179,1018,31,8347.400390625,7930.43017578125,8219.759765625,8344.25,4431930000,8344.25
35,2020-03-11,1351,1263,37,8181.35986328125,7850.9501953125,8136.25,7952.0498046875,4273890000,7952.0498046875
36,2020-03-12,1376,1668,43,7712.330078125,7194.669921875,7398.580078125,7201.7998046875,5066530000,7201.7998046875
37,2020-03-13,1495,2224,50,7875.93017578125,7219.08984375,7610.39013671875,7874.8798828125,4685890000,7874.8798828125
38,2020-03-16,1639,4507,91,7422.2001953125,6882.85986328125,7392.72998046875,6904.58984375,4594360000,6904.58984375
39,2020-03-17,1693,5905,116,7406.22998046875,6828.91015625,7072.0,7334.77978515625,4900000000,7334.77978515625
40,2020-03-18,1693,8345,157,7182.830078125,6686.35986328125,6902.31982421875,6989.83984375,4890820000,6989.83984375
41,2020-03-19,1693,12384,203,7341.3798828125,6858.3798828125,6996.4501953125,7150.580078125,4762170000,7150.580078125
42,2020-03-20,1693,17990,264,7354.43994140625,6854.669921875,7248.06982421875,6879.52001953125,5239940000,6879.52001953125
43,2020-03-23,1693,43477,550,6984.93994140625,6631.419921875,6847.27978515625,6860.669921875,4330610000,6860.669921875
44,2020-03-24,1693,53892,731,7418.3701171875,7169.85986328125,7196.14990234375,7417.85986328125,4417380000,7417.85986328125
45,2020-03-25,1693,68489,989,7671.2099609375,7276.39990234375,7421.35986328125,7384.2998046875,4666440000,7384.2998046875
46,2020-03-26,1693,85497,1275,7809.830078125,7462.2099609375,7462.2099609375,7797.5400390625,3999850000,7797.5400390625
47,2020-03-27,1693,102729,1648,7716.240234375,7491.14013671875,7554.25,7502.3798828125,3977010000,7502.3798828125
48,2020-03-30,1762,163589,3068,7784.35009765625,7539.97021484375,7583.4599609375,7774.14990234375,3846900000,7774.14990234375
49,2020-03-31,1762,188049,3911,7880.31005859375,7642.85986328125,7740.06005859375,7700.10009765625,4059700000,7700.10009765625
50,2020-04-01,1762,214711,4841,7566.3701171875,7301.97998046875,7459.5,7360.580078125,3685510000,7360.580078125
51,2020-04-02,1762,244034,5952,7501.7001953125,7307.9501953125,7317.4501953125,7487.31005859375,3608190000,7487.31005859375
52,2020-04-03,1762,276501,7121,7518.72021484375,7288.10986328125,7477.27001953125,7373.080078125,3279100000,7373.080078125
53,2020-04-06,1762,366213,10958,7938.330078125,7617.7900390625,7660.169921875,7913.240234375,3849100000,7913.240234375
54,2020-04-07,1762,397748,12957,8146.43017578125,7881.22021484375,8129.990234375,7887.259765625,4069410000,7887.259765625
55,2020-04-08,1762,429316,14803,8114.43017578125,7901.93994140625,7975.72021484375,8090.89990234375,3470730000,8090.89990234375
56,2020-04-09,1762,463684,16673,8227.91015625,8072.31982421875,8169.009765625,8153.580078125,4123670000,8153.580078125
57,2020-04-13,1762,580853,23606,8200.4404296875,8035.9501953125,8127.68994140625,8192.419921875,3146860000,8192.419921875
58,2020-04-14,1762,607285,26080,8531.1103515625,8338.080078125,8353.2099609375,8515.740234375,3732820000,8515.740234375
59,2020-04-15,1762,637056,28582,8464.66015625,8308.7900390625,8355.9599609375,8393.1796875,3333750000,8393.1796875
60,2020-04-16,1762,668533,30723,8560.16015625,8393.26953125,8479.1103515625,8532.3603515625,3995870000,8532.3603515625
61,2020-04-17,1762,699853,32910,8670.2998046875,8531.6904296875,8667.48046875,8650.1396484375,4335020000,8650.1396484375
62,2020-04-20,1762,780449,37795,8684.91015625,8553.3798828125,8553.3798828125,8560.73046875,3796950000,8560.73046875
63,2020-04-21,1762,805771,40316,8480.2900390625,8215.6904296875,8460.6904296875,8263.23046875,3756290000,8263.23046875
64,2020-04-22,1762,834338,42495,8537.3095703125,8404.5400390625,8434.5498046875,8495.3798828125,3025060000,8495.3798828125
65,2020-04-23,1762,868019,44516,8635.23046875,8475.2001953125,8528.83984375,8494.75,3734720000,8494.75
66,2020-04-24,1762,904604,46503,8642.9296875,8464.419921875,8530.080078125,8634.51953125,3673170000,8634.51953125
